Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Political and Institutional Communication Workshop 2018 – University"	"13.03.2018"	"14.03.2018"	"CMPF Scientific Coordinator, Elda Brogi will speak about the Media Pluralism Monitor at the University of Bergamo’s Department of Humanities, Philosophy and Communications. Vecchie e nuove sfide per la democrazia Libertà di informazione, campagne digitali, datificazione delle città 13 Marzo 2018 Aula 15, Pignolo 9:30 – Introduce e modera i lavori della giornata: Anna Carola Freschi, Università degli studi di Bergamo 9:40 – Fabio Chiusi e Giulio De Petra, Persuasori social, Progetto Punto Zero di Scuola critica del digitale, Fondazione Basso 10:20-10:50 Discussione, con Riccardo Dondi, Università degli studi di Bergamo Pausa caffè 11:10 Vittorio Alvino, Il progetto Political Ad Collector e Facebook,Openpolis 11:50-12:10 Discussione, con Francesca Pasquali, Università degli studi di Bergamo 12:30 Pausa pranzo Aula 9, Pignolo 14:00-14:40 Elda Brogi, Il rapporto internazionale Media Pluralism Monitor, IstitutoUniversitario Europeo 14:40-15:10 Discussione, con Francesca Pasquali,Università degli studi di Bergamo Pausa caffè 15:30-16:10 Vittorio Alvino, La datificazione e il nostro diritto digitale alla città, Openpolis 16:10-16:40 Discussione, con Riccardo Dondi, Università degli studi diBergamo   Il Workshop, alla terza edizione, è una iniziativa del Corso di laurea triennale in Scienze della Comunicazione e del Corso di laureamagistrale in Comunicazione, Informazione e Editoria dell’Università di Bergamo. L’iniziativa si propone di promuovere nelle sessioni dedicate un’ampia discussione fra gli esperti invitati e tutti i partecipanti. La partecipazione non richiede iscrizione. Per informazioni: anna.freschi@unibg.it  "	""	"University of Bergamo @ Via Salvecchio, 19, 24129 Bergamo BG, I"
"Workshop: The Turn to Artificial Intelligence in Governing Communication Online – Berlin"	"20.03.2018"	"21.03.2018"	"Researcher, Iva Nenadic will attend the workshop, The Turn toArtificial Intelligence in Governing Communication Online organised by The Humboldt Institute for Internet and Society and Access Now. Centered around three problem-oriented questions, the workshop will attempt to map current challenges:  Who are the primary agents of the socio-technical change to artificial intelligence in content moderation? How is the turn toAI influenced (e.g. governance instruments)? Why is the process of change accepted, or not?  Click here the workshop programme.  "	""	"Humboldt Institute for Internet and Society @ Französische Straße "
"Thematic Session on Data Protection Organised by the Brazilian Federal Senate"	"17.04.2018"	"18.04.2018"	"CMPF Research Associate, Mario Viola de Azevedo Cunha is one of the experts invited to participate in the Thematic Session on data protection organised by the Brazilian Federal Senate, 17 April 2018 – Brasilia(Brazil)."	""	"Brazilian Federal Senate @ Palácio do Congresso Nacional - Praça d"
"ERGA Subgroup 1 meeting “Internal and External Plurality”"	"15.05.2018"	"16.05.2018"	""	""	"Brussels, Belgium"
"Technical Consultation on UNESCO’s Monitoring of Safety of Journalists"	"24.05.2018"	"01.06.2018"	"The CMPF’s Mario Viola de Azevedo Cunha will be in attendance at the UNESCO meeting in Paris."	""	""
"Legal Trajectories of Neoliberalism: Critical Inquiries on Law in Europe"	"04.06.2018"	"05.06.2018"	"Please find the workshop details here."	""	"Sala Triaria, Villa Schifanoia @ Via Giovanni Boccaccio, 121, 5"
"CMPF’s 2018 Summer School for Journalists and Media Practitioners"	"11.06.2018"	"16.06.2018"	"The 2018 CMPF Summer School for Journalists and Media Practitioners will be held in Florence at the EUI 11-15 June and will focus on journalism in the age of algorithms and artificial intelligence. For more details and a list of this year presenters see here."	""	""
"Upholding the freedom of expression, including media freedom, in the EU and beyond"	"15.06.2018"	"16.06.2018"	"CMPF Director, Pier Luigi Parcu will attend the inter-parliamentary conference “Upholding the freedom of expression, including media freedom, in the EU and beyond” organised by the European Parliament in cooperation with the Czech Chamber of Deputies."	""	"Prague, Czechia"
"Data Access Initiative Workshop"	"25.06.2018"	"26.06.2018"	"In cooperation with the Media Policy Lab of the media authorityBerlin-Brandenburg (mabb), the CMPF will host the Data Access InitiativeWorkshop. The workshop will gather representatives of media authorities in Europe, academics, and NGOs, with the aim to reconsider the regulatory position in relation to the increasing influence of online intermediaries and the impact of their activities on information pluralism. Participation by invitation only.  "	""	"Villa Schifanoia @ Via Giovanni Boccaccio, 121, 50133 Firenze FI"
"ECREA’s 7th European Communication Conference (ECC) “Centres and Peripheries: Communication, Research, Translation”"	"31.10.2018"	"03.11.2018"	"CMPF’s research associate Iva Nenadic, together with Marko Milosavljevic will talk about: “Adapting the media pluralism definitions to the new digital realities”. This presentation is part of the panel: “Makingand breaking media plurality – lessons from the Media Pluralism Monitor”."	""	"Lugano, Switzerland"
"Media, Freedom of Speech, and Democracy: Contemporary Conflicts and Tensions in the EU and Beyond – Tel Aviv, Israel"	"18.11.2018"	"20.11.2018"	"CMPF’s research associate Iva Nenadic will talk about: “Changesin news media and journalism fostered by digital technologies”. The conference is organised by the S. Daniel Abraham Center for International and Regional Studies of Tel Aviv University in cooperation with the European Studies Programme of Tel Aviv University  and the Austrian Society for European Politics.  "	""	"Tel Aviv University"
"United Nations Alliance of Civilizations (UNAOC) Global Forum"	"19.11.2018"	"21.11.2018"	"Elda Brogi was invited to attend the 8th United Nations Alliance of Civilizations (UNAOC) Global Forum “#Commit2Dialogue: Partnerships for Prevention and Sustaining Peace” Find out more here: https://8thglobalforum.unaoc.org/"	""	"UN Headquarters @ New York, NY 10017, USA"
"2018 Colloquium on Fundamental Rights – Brussels"	"26.11.2018"	"28.11.2018"	"26 and 27 November 2018 in Brussels, Elda Brogi will participate in the 2018 Colloquium on Fundamental Rights.  Find out more here:https://europa.eu/newsroom/events/2018-annual-colloquium-fundamental-rights_en  "	""	"European Commission"
"High-level conference of the European Media Literacy Week"	"19.03.2019"	"20.03.2019"	"CMPF Director, Pier Luigi Parcu, will speak at the high-levelconference on Media Literacy in Brussels on 19 March 2019. Professor Parcu will discuss how economic incentives of social media companies’ favor orcontrast disinformation. Participants will discuss the role of public authorities and different stakeholders in promoting media literacy. Moreover, best practices in media literary across the EU will be presented. In addition, panelists will exchange on innovation in the media sector and therole of quality media content. https://ec.europa.eu/digital-single-market/en/news/european-media-literacy-week    "	""	"Cinema Palace, Brussels"
"Seminar “Facts, voices and comments: towards an ecology of communication and information” – Turin"	"20.03.2019"	"21.03.2019"	"This European Media Literacy week, CMPF researcher Gabriela Jacomella will attend and give a presentation on fact-checking at the Seminario “Fatti, voci e commenti: verso un’ecologia della comunicazione e dell’informazione”  on Wednesday March 20 in Turin. See the link below to register.   Seminario “Fatti, voci e commenti: verso un’ecologia della comunicazione e dell’informazione” – Torino     "	""	"Collegio Carlo Alberto @ Piazza Arbarello 8 - Turin"
"Data-Driven Elections: Implications and Challenges for Democratic Society"	"29.04.2019"	"30.04.2019"	"CMPF researcher Iva Nenadic is taking part in the workshop on “Data-Driven Elections: IMPLICATIONS AND CHALLENGES FOR DEMOCRATIC SOCIETIES”, Victoria, Canada, April 29th-30th, hosted by the Office of the Information and Privacy Commissioner for British Columbia. Download the programme."	""	""
"Information at a time of fake news,  disinformation and post-truth politics"	"06.05.2019"	"08.05.2019"	"CMPF researcher Matthew Loveless attends and speaks at the international workshop on the round table Responses to the challenges of the politics of manipulation. Find out more about the workshop here.  "	""	"Sant'Anna School of Advanced Studies Pisa @ Via Vernagalli, 22R,"
